word	F	1888_EDIC	1896_MM	1900_R	1907_EC	1919_ES	1922_DS	1932_2S	1934_PM
le plus possible	6	0	0	0	5	1	0	0	0
le plus grand nombre possible	5	0	1	2	1	0	0	1	0
la plus grande partie possible	2	0	1	0	1	0	0	0	0
la plus grande somme possible	2	0	0	0	2	0	0	0	0
la plus petite somme possible	2	0	0	0	1	0	0	0	1
la plus courte perception possible	1	0	1	0	0	0	0	0	0
la plus facile exploitation possible	1	0	0	0	1	0	0	0	0
la plus grande simplification possible	1	0	1	0	0	0	0	0	0
la plus grande sociabilité possible	1	0	0	1	0	0	0	0	0
la plus grande variété possible	1	0	0	0	1	0	0	0	0
la plus haute expression possible	1	0	0	0	0	0	0	0	1
la plus haute sociabilité possibles	1	0	0	1	0	0	0	0	0
la plus large mesure possible	1	1	0	0	0	0	0	0	0
La plus petite quantité possible	1	0	0	0	1	0	0	0	0
le plus d' efficacité possible	1	0	0	0	0	0	1	0	0
le plus de variations possible	1	0	0	0	1	0	0	0	0
le plus habilement possible	1	0	0	1	0	0	0	0	0
le plus léger contact possible	1	0	0	0	1	0	0	0	0
le plus loin possible	1	0	0	0	0	0	0	1	0
le plus près possible	1	0	0	0	0	0	1	0	0
le plus tôt possible	1	0	0	0	1	0	0	0	0
