form	lemma	POS
"
    
    "	"
    
    "	SPACE
L'	le	DET
histoire	histoire	NOUN
de	de	ADP
l'	le	DET
évolution	évolution	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
,	,	PUNCT
si	si	SCONJ
incomplète	incomplet	ADJ
qu'	que	SCONJ
elle	lui	PRON
soit	être	AUX
encore	encore	ADV
,	,	PUNCT
nous	nous	PRON
laisse	laisse	VERB
déjà	déjà	ADV
entrevoir	entrevoir	VERB
comment	comment	ADV
l'	le	DET
intelligence	intelligence	NOUN
s'	se	PRON
est	être	AUX
constituée	constituer	VERB
par	par	ADP
un	un	DET
progrès	progrès	NOUN
ininterrompu	ininterrompu	ADJ
,	,	PUNCT
le	le	DET
long	long	NOUN
d'	de	ADP
une	un	DET
ligne	ligne	NOUN
qui	qui	PRON
monte	monte	VERB
,	,	PUNCT
à	à	ADP
travers	travers	NOUN
la	le	DET
série	série	NOUN
des	de	ADP
Vertébrés	vertébré	NOUN
,	,	PUNCT
jusqu'	jusque	ADP
à	à	ADP
l'	le	DET
homme	homme	NOUN
.	.	PUNCT
Elle	lui	PRON
nous	nous	PRON
montre	montre	VERB
,	,	PUNCT
dans	dans	ADP
la	le	DET
faculté	faculté	NOUN
de	de	ADP
comprendre	comprendre	VERB
,	,	PUNCT
une	un	DET
annexe	annexe	NOUN
de	de	ADP
la	le	DET
faculté	faculté	NOUN
d'	de	ADP
agir	agir	VERB
,	,	PUNCT
une	un	DET
adaptation	adaptation	NOUN
de	de	ADP
plus	plus	ADV
en	en	ADP
plus	plus	ADV
précise	précis	ADJ
,	,	PUNCT
de	de	ADP
plus	plus	ADV
en	en	ADP
plus	plus	ADV
complexe	complexe	ADJ
et	et	CCONJ
souple	souple	ADJ
,	,	PUNCT
de	de	ADP
la	le	DET
conscience	conscience	NOUN
des	de	ADP
êtres	être	NOUN
vivants	vivant	ADJ
aux	à	ADP
conditions	condition	NOUN
d'	de	ADP
existence	existence	NOUN
qui	qui	PRON
leur	leur	PRON
sont	être	AUX
faites	faire	VERB
.	.	PUNCT
De	de	ADP
là	là	ADV
devrait	devoir	VERB
résulter	résulter	VERB
cette	ce	DET
conséquence	conséquence	NOUN
que	que	SCONJ
notre	notre	DET
intelligence	intelligence	NOUN
,	,	PUNCT
au	au	DET
sens	sens	NOUN
étroit	étroit	VERB
du	de	DET
mot	mot	NOUN
,	,	PUNCT
est	être	AUX
destinée	destiner	VERB
à	à	ADP
assurer	assurer	VERB
l'	le	DET
insertion	insertion	NOUN
parfaite	parfait	ADJ
de	de	ADP
notre	notre	DET
corps	corps	NOUN
dans	dans	ADP
son	son	DET
milieu	milieu	NOUN
,	,	PUNCT
à	à	ADP
se	se	PRON
représenter	représenter	VERB
les	le	DET
rapports	rapport	NOUN
des	de	ADP
choses	chose	NOUN
extérieures	extérieur	ADJ
entre	entre	ADP
elles	lui	PRON
,	,	PUNCT
enfin	enfin	ADV
à	à	ADP
penser	penser	VERB
