form	lemma	POS
"
    
    "	"
    
    "	SPACE
Le	le	DET
présent	présent	ADJ
recueil	recueil	NOUN
comprend	comprendre	VERB
d'	de	ADP
abord	abord	ADV
deux	deux	NUM
essais	essai	NOUN
introductifs	introductif	ADJ
que	que	PRON
nous	nous	PRON
avons	avoir	AUX
écrits	écrire	VERB
pour	pour	ADP
lui	lui	PRON
spécialement	spécialement	NOUN
,	,	PUNCT
et	et	CCONJ
qui	qui	PRON
sont	être	AUX
par	par	ADP
conséquent	conséquent	NOUN
inédits	inédits	VERB
.	.	PUNCT
Ils	il	PRON
occupent	occuper	VERB
le	le	DET
tiers	tiers	NOUN
du	de	DET
volume	volume	NOUN
.	.	PUNCT
Les	le	DET
autres	autre	ADJ
sont	être	AUX
des	un	DET
articles	article	NOUN
ou	ou	CCONJ
des	un	DET
conférences	conférence	NOUN
introuvables	introuvable	ADJ
pour	pour	ADP
la	le	DET
plupart	plupart	NOUN
,	,	PUNCT
qui	qui	PRON
ont	avoir	AUX
paru	paraître	VERB
en	en	ADP
France	France	PROPN
ou	ou	CCONJ
à	à	ADP
l'	le	DET
étranger	étranger	VERB
.	.	PUNCT
Les	le	DET
uns	uns	PROPN
et	et	CCONJ
les	le	DET
autres	autre	ADJ
datent	datent	NOUN
de	de	ADP
la	le	DET
période	période	NOUN
comprise	comprendre	VERB
entre	entre	ADP
1903	1903	NUM
et	et	CCONJ
1923	1923	NUM
.	.	PUNCT
Ils	il	PRON
portent	porter	VERB
principalement	principalement	ADV
sur	sur	ADP
la	le	DET
méthode	méthode	NOUN
que	que	SCONJ
nous	nous	PRON
croyons	croire	VERB
devoir	devoir	VERB
recommander	recommander	VERB
au	au	DET
philosophe	philosophe	NOUN
.	.	PUNCT
Remonter	remonter	VERB
à	à	ADP
l'	le	DET
origine	origine	NOUN
de	de	ADP
cette	ce	DET
méthode	méthode	NOUN
,	,	PUNCT
définir	définir	VERB
la	le	DET
direction	direction	NOUN
qu'	qu'	PRON
elle	lui	PRON
imprime	imprime	VERB
à	à	ADP
la	le	DET
recherche	recherche	NOUN
,	,	PUNCT
tel	tel	ADJ
est	être	AUX
plus	plus	ADV
particulièrement	particulièrement	ADV
l'	le	DET
objet	objet	NOUN
des	de	ADP
deux	deux	NUM
essais	essai	NOUN
composant	composer	VERB
l'	le	DET
introduction	introduction	NOUN
.	.	PUNCT
"
"	"
"	SPACE
Dans	dans	ADP
un	un	DET
livre	livre	NOUN
paru	paraître	VERB
en	en	ADP
1919	1919	NUM
sous	sous	ADP
le	le	DET
titre	titre	NOUN
de	de	ADP
L'	le	DET
Énergie	énergie	NOUN
spirituelle	spirituel	ADJ
nous	nous	PRON
avions	avoir	AUX
réuni	réunir	VERB
des	un	DET
""""	""""	PUNCT
essais	essai	NOUN
et	et	CCONJ
conférences	conférences	DET
""""	""""	PUNCT
portant	porter	VERB
sur	sur	ADP
les	le	DET
résultats	résultat	NOUN
de	de	ADP
quelques-uns	quelques-uns	PRON
de	de	ADP
nos	notre	DET
travaux	travail	NOUN
.	.	PUNCT
Notre	notre	DET
nouveau	nouveau	ADJ
recueil	recueil	NOUN
,	,	PUNCT
où	où	PRON
se	se	PRON
trouvent	trouver	VERB
groupés	grouper	VERB
des	de	ADP
""""	""""	PUNCT
essais	essai	NOUN
et	et	CCONJ
conférences	conférences	DET
""""	""""	PUNCT
relatifs	relatifs	VERB
cette	ce	DET
fois	fois	NOUN
au	au	DET
travail	travail	NOUN
de	de	ADP
recherche	recherche	NOUN
lui-même	lui-même	PRON
,	,	PUNCT
sera	être	AUX
le	le	DET
complément	complément	NOUN
du	de	DET
premier	premier	ADJ
.	.	PUNCT
"
"	"
"	SPACE
Les	le	DET
""""	""""	PUNCT
Delegates	delegate	NOUN
of	of	X
the	the	X
Clarendon	Clarendon	X
Press	Press	PROPN
""""	""""	PUNCT
d'	de	ADP
Ofxord	ofxord	NOUN
ont	avoir	AUX
bien	bien	ADV
voulu	vouloir	VERB
nous	nous	PRON
autoriser	autoriser	VERB
à	à	ADP
reproduire	reproduire	VERB
ici	ici	ADV
les	le	DET
deux	deux	NUM
conférences	conférence	NOUN
,	,	PUNCT
si	si	ADV
soigneusement	soigneusement	ADV
éditées	éditer	VERB
par	par	ADP
eux	lui	PRON
,	,	PUNCT
que	que	SCONJ
nous	nous	PRON
avions	avoir	AUX
faites	faite	NOUN
en	en	ADP
1911	1911	NUM
à	à	ADP
l'	le	DET
Université	université	NOUN
d'	de	ADP
Oxford	Oxford	PROPN
.	.	PUNCT
Nous	nous	PRON
leur	leur	PRON
adressons	adresson	NOUN
tous	tout	ADJ
nos	notre	DET
remerciements	remerciement	NOUN
.	.	PUNCT
H.	H.	PROPN
B.	B.	PROPN
"
"	"
"	SPACE
Ce	ce	PRON
qui	qui	PRON
a	avoir	VERB
le	le	DET
plus	plus	ADV
manqué	manquer	VERB
à	à	ADP
la	le	DET
philosophie	philosophie	NOUN
,	,	PUNCT
c'	ce	PRON
est	être	AUX
la	le	DET
précision	précision	NOUN
.	.	PUNCT
Les	le	DET
systèmes	système	NOUN
philosophiques	philosophique	ADJ
ne	ne	ADV
sont	être	AUX
pas	pas	ADV
taillés	tailler	VERB
à	à	ADP
la	le	DET
mesure	mesure	NOUN
de	de	ADP
la	le	DET
réalité	réalité	NOUN
où	où	PRON
nous	nous	PRON
vivons	vivre	VERB
.	.	PUNCT
Ils	il	PRON
sont	être	AUX
trop	trop	ADV
larges	large	ADJ
pour	pour	ADP
elle	lui	PRON
.	.	PUNCT
Examinez	examinez	NOUN
tel	tel	ADJ
d'	de	ADP
entre	entre	ADP
eux	lui	PRON
,	,	PUNCT
convenablement	convenablement	ADV
choisi	choisir	VERB
:	:	PUNCT
vous	vous	PRON
verrez	voir	VERB
qu'	que	SCONJ
il	il	PRON
s'	se	PRON
appliquerait	appliquer	VERB
aussi	aussi	ADV
bien	bien	ADV
à	à	ADP
un	un	DET
monde	monde	NOUN
où	où	PRON
il	il	PRON
n'	n'	ADV
y	y	PRON
aurait	avoir	AUX
pas	pas	ADV
de	de	DET
plantes	plante	NOUN
ni	ni	CCONJ
d'	de	ADP
animaux	animaux	PROPN
,	,	PUNCT
rien	rien	PRON
que	que	SCONJ
des	de	ADP
hommes	homme	NOUN
;	;	PUNCT
où	où	PRON
les	le	DET
hommes	homme	NOUN
se	se	PRON
passeraient	passer	VERB
de	de	ADP
boire	boire	VERB
et	et	CCONJ
de	de	ADP
manger	manger	VERB
;	;	PUNCT
où	où	PRON
ils	il	PRON
ne	ne	ADV
dormiraient	dormir	VERB
,	,	PUNCT
ne	ne	ADV
rêveraient	rêver	VERB
ni	ni	CCONJ
ne	ne	ADV
divagueraient	divaguer	VERB
;	;	PUNCT
où	où	PRON
ils	il	PRON
naîtraient	naître	VERB
décrépits	décrépit	ADJ
pour	pour	ADP
finir	finir	VERB
nourrissons	nourrisson	NOUN
;	;	PUNCT
où	où	PRON
l'	le	DET
énergie	énergie	NOUN
remonterait	remonter	VERB
la	le	DET
pente	pente	NOUN
de	de	ADP
la	le	DET
dégradation	dégradation	NOUN
;	;	PUNCT
où	où	PRON
tout	tout	PRON
irait	aller	VERB
à	à	ADP
rebours	rebours	NOUN
et	et	CCONJ
se	se	PRON
tiendrait	tenir	VERB
à	à	ADP
l'	le	DET
envers	envers	NOUN
.	.	PUNCT
C'	ce	PRON
est	être	VERB
qu'	qu'	ADV
un	un	DET
vrai	vrai	ADJ
système	système	NOUN
est	être	AUX
un	un	DET
ensemble	ensemble	NOUN
de	de	ADP
conceptions	conception	NOUN
si	si	SCONJ
abstraites	abstraite	NOUN
,	,	PUNCT
et	et	CCONJ
par	par	ADP
conséquent	conséquent	NOUN
si	si	SCONJ
vastes	vaste	NOUN
,	,	PUNCT
qu'	que	SCONJ
on	on	PRON
y	y	PRON
ferait	faire	VERB
tenir	tenir	VERB
tout	tout	ADJ
le	le	DET
possible	possible	NOUN
,	,	PUNCT
et	et	CCONJ
même	même	ADV
de	de	ADP
l'	le	DET
impossible	impossible	NOUN
,	,	PUNCT
à	à	ADP
côté	côté	NOUN
du	de	DET
réel	réel	NOUN
.	.	PUNCT
L'	le	DET
explication	explication	NOUN
que	que	PRON
nous	nous	PRON
devons	devoir	VERB
juger	juger	VERB
satisfaisante	satisfaisante	NOUN
est	être	AUX
celle	celui	PRON
qui	qui	PRON
adhère	adhérer	VERB
à	à	ADP
son	son	DET
objet	objet	NOUN
:	:	PUNCT
point	point	NOUN
de	de	ADP
vide	vide	NOUN
entre	entre	ADP
eux	lui	PRON
,	,	PUNCT
pas	pas	ADV
d'	de	ADP
interstice	interstice	PROPN
où	où	PRON
une	un	DET
autre	autre	ADJ
explication	explication	NOUN
puisse	pouvoir	VERB
aussi	aussi	ADV
bien	bien	ADV
se	se	PRON
loger	loger	VERB
;	;	PUNCT
elle	lui	PRON
ne	ne	ADV
convient	convier	VERB
qu'	que	SCONJ
à	à	ADP
lui	lui	PRON
,	,	PUNCT
il	il	PRON
ne	ne	ADV
se	se	PRON
prête	prête	VERB
qu'	que	SCONJ
à	à	ADP
elle	lui	PRON
.	.	PUNCT
Telle	tel	ADJ
peut	pouvoir	VERB
être	être	AUX
l'	le	DET
explication	explication	NOUN
scientifique	scientifique	ADJ
.	.	PUNCT
Elle	lui	PRON
comporte	comporte	VERB
la	le	DET
précision	précision	NOUN
absolue	absolu	ADJ
et	et	CCONJ
une	un	DET
évidence	évidence	NOUN
complète	complet	ADJ
ou	ou	CCONJ
croissante	croissant	ADJ
.	.	PUNCT
En	en	ADP
dirait	dire	VERB
-on	on	PRON
autant	autant	ADV
des	un	DET
théories	théorie	NOUN
philosophiques	philosophique	ADJ
?	?	PUNCT
"
"	"
"	SPACE
Une	un	DET
doctrine	doctrine	NOUN
nous	nous	PRON
