form	lemma	POS
"
"	"
"	SPACE
Bref	bref	ADV
,	,	PUNCT
à	à	ADP
l'	le	DET
activité	activité	NOUN
continue	continue	VERB
et	et	CCONJ
vivante	vivant	ADJ
de	de	ADP
ce	ce	DET
moi	moi	PRON
où	où	PRON
nous	nous	PRON
avions	avoir	AUX
discerné	discerner	VERB
,	,	PUNCT
par	par	ADP
abstraction	abstraction	NOUN
seulement	seulement	ADV
,	,	PUNCT
deux	deux	NUM
directions	direction	NOUN
opposées	opposer	ADJ
,	,	PUNCT
on	on	PRON
substitue	substitue	VERB
ces	ce	DET
directions	direction	NOUN
elles	elle	ADJ
-	-	PUNCT
mêmes	même	PRON
,	,	PUNCT
transformées	transformer	VERB
en	en	ADP
choses	chose	NOUN
inertes	inerte	ADJ
,	,	PUNCT
indifférentes	indifférent	ADJ
,	,	PUNCT
et	et	CCONJ
qui	qui	PRON
attendent	attendre	VERB
notre	notre	DET
choix	choix	NOUN
.	.	PUNCT
Mais	mais	CCONJ
il	il	PRON
faut	falloir	VERB
bien	bien	ADV
alors	alors	ADV
qu'	que	SCONJ
on	on	PRON
reporte	reporte	VERB
l'	le	DET
activité	activité	NOUN
du	de	DET
moi	moi	NOUN
quelque	quelque	DET
part	part	NOUN
.	.	PUNCT
On	on	PRON
la	le	DET
mettra	mettra	NOUN
au	au	DET
point	point	NOUN
O	o	ADJ
;	;	PUNCT
on	on	PRON
dira	dire	VERB
que	que	SCONJ
le	le	DET
moi	moi	PRON
,	,	PUNCT
arrivé	arriver	VERB
en	en	ADP
O	o	NOUN
,	,	PUNCT
et	et	CCONJ
devant	devant	ADP
deux	deux	NUM
partis	parti	NOUN
à	à	ADP
prendre	prendre	VERB
,	,	PUNCT
hésite	hésite	NOUN
,	,	PUNCT
délibère	délibère	NOUN
,	,	PUNCT
et	et	CCONJ
opte	opte	NOUN
enfin	enfin	ADV
pour	pour	ADP
l'	le	DET
un	un	PRON
d'	de	ADP
eux	lui	PRON
.	.	PUNCT
Comme	comme	SCONJ
on	on	PRON
avait	avoir	AUX
de	de	ADP
la	le	DET
peine	peine	NOUN
à	à	ADP
se	se	PRON
représenter	représenter	VERB
la	le	DET
double	double	ADJ
direction	direction	NOUN
de	de	ADP
l'	le	DET
activité	activité	NOUN
consciente	conscient	ADJ
dans	dans	ADP
toutes	tout	ADJ
les	le	DET
phases	phase	NOUN
de	de	ADP
son	son	DET
développement	développement	NOUN
continu	continu	ADJ
on	on	PRON
a	avoir	AUX
fait	faire	VERB
cristalliser	cristalliser	VERB
à	à	ADP
part	part	NOUN
ces	ce	DET
deux	deux	NUM
tendances	tendance	NOUN
,	,	PUNCT
et	et	CCONJ
à	à	ADP
part	part	NOUN
aussi	aussi	ADV
l'	le	DET
activité	activité	NOUN
du	de	DET
moi	moi	PRON
;	;	PUNCT
on	on	PRON
obtient	obtenir	VERB
ainsi	ainsi	ADV
un	un	DET
moi	moi	PRON
indifféremment	indifféremmer	VERB
actif	actif	ADJ
qui	qui	PRON
hésite	hésit	ADJ
entre	entre	ADP
deux	deux	NUM
partis	parti	NOUN
inertes	inerte	ADJ
et	et	CCONJ
comme	comme	ADP
solidifiés	solidifier	ADJ
.	.	PUNCT
Or	or	CCONJ
,	,	PUNCT
s'	s'	SCONJ
il	il	PRON
opte	opte	VERB
pour	pour	ADP
OX	o	NOUN
,	,	PUNCT
la	le	DET
ligne	ligne	NOUN
OY	OY	PROPN
n'	n'	ADV
en	en	PRON
subsistera	subsister	VERB
pas	pas	ADV
moins	moins	ADV
;	;	PUNCT
s'	s'	SCONJ
il	il	PRON
se	se	PRON
décide	décide	VERB
pour	pour	ADP
OY	oy	NOUN
,	,	PUNCT
le	le	DET
chemin	chemin	NOUN
OX	o	NOUN
demeurera	demeurer	VERB
ouvert	ouvert	ADJ
,	,	PUNCT
attendant	attendre	VERB
,	,	PUNCT
au	au	DET
besoin	besoin	NOUN
,	,	PUNCT
que	que	SCONJ
le	le	DET
