form	lemma	POS
"
"	"
"	SPACE
VI	VI	PROPN
.	.	PUNCT
-	-	PUNCT
La	le	DET
théorie	théorie	NOUN
de	de	ADP
la	le	DET
mémoire	mémoire	NOUN
,	,	PUNCT
qui	qui	PRON
forme	forme	VERB
le	le	DET
centre	centre	NOUN
de	de	ADP
notre	notre	DET
travail	travail	NOUN
,	,	PUNCT
devait	devoir	VERB
être	être	AUX
à	à	ADP
la	le	DET
fois	fois	NOUN
la	le	DET
conséquence	conséquence	NOUN
théorique	théorique	ADJ
et	et	CCONJ
la	le	DET
vérification	vérification	NOUN
expérimentale	expérimental	ADJ
de	de	ADP
notre	notre	DET
théorie	théorie	NOUN
de	de	ADP
la	le	DET
perception	perception	NOUN
pure	pur	ADJ
.	.	PUNCT
Que	que	SCONJ
les	le	DET
états	état	NOUN
cérébraux	cérébral	ADJ
qui	qui	PRON
accompagnent	accompagner	VERB
la	le	DET
perception	perception	NOUN
n'	n'	ADV
en	en	PRON
soient	être	AUX
ni	ni	CCONJ
la	le	DET
cause	cause	NOUN
ni	ni	CCONJ
le	le	DET
duplicat	duplicat	NOUN
,	,	PUNCT
que	que	SCONJ
la	le	DET
perception	perception	NOUN
entretienne	entretienn	ADJ
avec	avec	ADP
son	son	DET
concomitant	concomitant	NOUN
physiologique	physiologique	ADJ
le	le	DET
rapport	rapport	NOUN
de	de	ADP
l'	le	DET
action	action	NOUN
virtuelle	virtuel	ADJ
à	à	ADP
l'	le	DET
action	action	NOUN
commencée	commencer	VERB
,	,	PUNCT
c'	ce	PRON
est	être	AUX
ce	ce	PRON
que	que	PRON
nous	nous	PRON
ne	ne	ADV
pouvions	pouvoir	VERB
établir	établir	VERB
par	par	ADP
des	un	DET
faits	fait	NOUN
,	,	PUNCT
puisque	puisque	SCONJ
tout	tout	ADV
se	se	PRON
passera	passer	VERB
dans	dans	ADP
notre	notre	DET
hypothèse	hypothèse	NOUN
comme	comme	ADP
si	si	SCONJ
la	le	DET
perception	perception	NOUN
résultait	résulter	VERB
de	de	ADP
l'	le	DET
état	état	NOUN
cérébral	cérébral	ADJ
.	.	PUNCT
Dans	dans	ADP
la	le	DET
perception	perception	NOUN
pure	pur	NOUN
,	,	PUNCT
en	en	ADP
effet	effet	NOUN
,	,	PUNCT
l'	le	DET
objet	objet	NOUN
perçu	perçu	PROPN
est	être	AUX
un	un	DET
objet	objet	NOUN
présent	présent	ADJ
,	,	PUNCT
un	un	DET
corps	corps	NOUN
qui	qui	PRON
modifie	modifier	VERB
le	le	DET
nôtre	nôtre	NOUN
.	.	PUNCT
L'	le	DET
image	image	NOUN
en	en	ADP
est	être	VERB
donc	donc	ADV
actuellement	actuellement	ADV
donnée	donner	VERB
,	,	PUNCT
et	et	CCONJ
dès	dès	ADP
lors	lors	ADV
les	le	DET
faits	fait	NOUN
nous	nous	PRON
permettent	permettre	VERB
indifféremment	indifféremment	ADV
de	de	ADP
dire	dire	VERB
(	(	PUNCT
quittes	quitte	NOUN
à	à	ADP
nous	nous	PRON
entendre	entendre	VERB
très	très	ADV
inégalement	inégalement	ADV
avec	avec	ADP
nous	nous	PRON
-	-	PRON
mêmes	même	PRON
)	)	PUNCT
que	que	SCONJ
les	le	DET
modifications	modification	NOUN
cérébrales	cérébral	ADJ
esquissent	esquisser	VERB
les	le	DET
réactions	réaction	NOUN
naissantes	naissant	ADJ
de	de	ADP
notre	notre	DET
corps	corps	NOUN
ou	ou	CCONJ
qu'	que	SCONJ
elles	lui	PRON
créent	créer	VERB
le	le	DET
duplicat	duplicat	NOUN
conscient	conscient	NOUN
de	de	ADP
l'	le	DET
image	image	NOUN
présente	présent	ADJ
.	.	PUNCT
Mais	mais	CCONJ
il	il	PRON
en	en	PRON
est	être	AUX
tout	tout	ADV
autrement	autrement	ADV
pour	pour	ADP
la	le	DET
mémoire	mémoire	NOUN
,	,	PUNCT
car	car	CCONJ
le	le	DET
souvenir	souvenir	NOUN
est	être	AUX
la	le	DET
représentation	représentation	NOUN
d'	de	ADP
un	un	DET
objet	objet	NOUN
absent	absent	ADJ
.	.	PUNCT
Ici	ici	VERB
les	le	DET
deux	deux	NUM
hypothèses	hypothèse	NOUN
donneront	donner	VERB
des	de	ADP
conséquences	conséquence	NOUN
opposées	opposer	VERB
.	.	PUNCT
Si	si	SCONJ
,	,	PUNCT
dans	dans	ADP
le	le	DET
cas	cas	NOUN
d'	de	ADP
un	un	DET
objet	objet	NOUN
présent	présent	ADJ
,	,	PUNCT
un	un	DET
état	état	NOUN
de	de	ADP
notre	notre	DET
corps	corps	NOUN
suffisait	suffire	VERB
déjà	déjà	ADV
à	à	ADP
créer	créer	VERB
la	le	DET
représentation	représentation	NOUN
de	de	ADP
l'	le	DET
objet	objet	NOUN
,	,	PUNCT
à	à	ADP
plus	plus	ADV
forte	fort	ADJ
raison	raison	NOUN
cet	ce	DET
état	état	NOUN
suffira	suffire	VERB
-t	-t	PART
-il	il	PRON
encore	encore	ADV
dans	dans	ADP
le	le	DET
cas	cas	NOUN
du	de	DET
même	même	ADJ
objet	objet	NOUN
absent	absent	ADJ
.	.	PUNCT
Il	il	PRON
faudra	falloir	VERB
donc	donc	ADV
,	,	PUNCT
dans	dans	ADP
cette	ce	DET
théorie	théorie	NOUN
,	,	PUNCT
que	que	PRON
le	le	DET
souvenir	souvenir	NOUN
naisse	naisse	NOUN
de	de	ADP
la	le	DET
répétition	répétition	NOUN
atténuée	atténuer	VERB
du	de	DET
phénomène	phénomène	NOUN
cérébral	cérébral	ADJ
qui	qui	PRON
occasionnait	occasionner	VERB
la	le	DET
perception	perception	NOUN
première	premier	ADJ
,	,	PUNCT
et	et	CCONJ
consiste	consiste	VERB
simplement	simplement	ADV
dans	dans	ADP
une	un	DET
perception	perception	NOUN
affaiblie	affaibli	ADJ
.	.	PUNCT
D'	de	ADP
où	où	PRON
cette	ce	DET
double	double	ADJ
thèse	thèse	VERB
La	le	DET
mémoire	mémoire	NOUN
n'	n'	ADV
est	être	VERB
qu'	qu'	ADV
une	un	DET
fonction	fonction	NOUN
du	de	DET
cerveau	cerveau	NOUN
,	,	PUNCT
et	et	CCONJ
il	il	PRON
n'	n'	ADV
y	y	PRON
a	avoir	VERB
qu'	qu'	ADV
une	un	DET
différence	différence	NOUN
d'	de	ADP
intensité	intensité	NOUN
entre	entre	ADP
la	le	DET
perception	perception	NOUN
et	et	CCONJ
le	le	DET
souvenir	souvenir	NOUN
.	.	PUNCT
-	-	PUNCT
Au	au	DET
contraire	contraire	NOUN
,	,	PUNCT
si	si	SCONJ
l'	le	DET
état	état	NOUN
cérébral	cérébral	ADJ
n'	n'	ADV
engendrait	engendrer	VERB
aucunement	aucunement	ADV
notre	notre	DET
perception	perception	NOUN
de	de	ADP
l'	le	DET
objet	objet	NOUN
présent	présent	ADJ
mais	mais	CCONJ
la	le	PRON
continuait	continuer	VERB
simplement	simplement	ADV
,	,	PUNCT
il	il	PRON
pourra	pouvoir	VERB
encore	encore	ADV
prolonger	prolonger	VERB
et	et	CCONJ
encore	encore	ADV
faire	faire	AUX
aboutir	aboutir	VERB
le	le	DET
souvenir	souvenir	NOUN
que	que	PRON
nous	nous	PRON
en	en	PRON
évoquons	évoquon	NOUN
,	,	PUNCT
mais	mais	CCONJ
non	non	ADV
pas	pas	ADV
le	le	PRON
faire	faire	VERB
naître	naître	NOUN
.	.	PUNCT
Et	et	CCONJ
comme	comme	SCONJ
,	,	PUNCT
d'	de	ADP
autre	autre	ADJ
part	part	NOUN
,	,	PUNCT
notre	notre	DET
perception	perception	NOUN
de	de	ADP
l'	le	DET
objet	objet	NOUN
présent	présent	ADJ
était	être	AUX
quelque	quelque	DET
chose	chose	NOUN
de	de	ADP
cet	ce	DET
objet	objet	NOUN
lui-même	lui-même	PRON
,	,	PUNCT
notre	notre	DET
représentation	représentation	NOUN
de	de	ADP
l'	le	DET
objet	objet	NOUN
absent	abser	VERB
sera	être	AUX
un	un	DET
phénomène	phénomène	NOUN
de	de	ADP
tout	tout	DET
autre	autre	ADJ
ordre	ordre	NOUN
que	que	SCONJ
la	le	DET
perception	perception	NOUN
,	,	PUNCT
puisqu'	puisque	SCONJ
il	il	PRON
n'	n'	ADV
y	y	PRON
a	avoir	VERB
entre	entre	ADP
la	le	DET
présence	présence	NOUN
et	et	CCONJ
l'	le	DET
absence	absence	NOUN
aucun	aucun	DET
degré	degré	NOUN
,	,	PUNCT
aucun	aucun	DET
milieu	milieu	NOUN
.	.	PUNCT
D'	de	ADP
où	où	PRON
cette	ce	DET
double	double	ADJ
thèse	thèse	NOUN
,	,	PUNCT
inverse	inverse	NOUN
de	de	ADP
la	le	DET
précédente	précédente	NOUN
:	:	PUNCT
La	le	DET
mémoire	mémoire	NOUN
est	être	AUX
autre	autre	ADJ
chose	chose	NOUN
qu'	que	SCONJ
une	un	DET
fonction	fonction	NOUN
du	de	DET
cerveau	cerveau	NOUN
,	,	PUNCT
et	et	CCONJ
il	il	PRON
n'	n'	ADV
y	y	PRON
a	avoir	VERB
pas	pas	ADV
une	un	DET
différence	différence	NOUN
de	de	ADP
degré	degré	PROPN
,	,	PUNCT
mais	mais	CCONJ
de	de	ADP
