form	lemma	POS
"
"	"
"	SPACE
Nous	nous	PRON
allons	aller	VERB
présenter	présenter	VERB
d'	de	ADP
abord	abord	ADV
trois	trois	NUM
observations	observation	NOUN
que	que	PRON
nous	nous	PRON
tenons	tenir	VERB
pour	pour	ADP
fondamentales	fondamentales	PRON
.	.	PUNCT
Elles	lui	PRON
portent	porter	VERB
moins	moins	ADV
sur	sur	ADP
le	le	DET
comique	comique	NOUN
lui-même	lui-même	PRON
que	que	SCONJ
sur	sur	ADP
la	le	DET
place	place	NOUN
où	où	PRON
il	il	PRON
faut	falloir	VERB
le	le	DET
chercher	chercher	VERB
.	.	PUNCT
