form	lemma	POS
"
"	"
"	SPACE
Il	il	PRON
faut	falloir	VERB
donc	donc	ADV
dépasser	dépasser	VERB
l'	le	DET
un	un	PRON
et	et	CCONJ
l'	le	DET
autre	autre	ADJ
points	point	NOUN
de	de	ADP
vue	vue	NOUN
,	,	PUNCT
celui	celui	VERB
du	de	DET
mécanisme	mécanisme	NOUN
et	et	CCONJ
celui	celui	VERB
du	de	DET
finalisme	finalisme	NOUN
,	,	PUNCT
lesquels	lequel	PRON
ne	ne	ADV
sont	être	VERB
,	,	PUNCT
au	au	DET
fond	fond	NOUN
,	,	PUNCT
que	que	SCONJ
des	un	DET
points	point	NOUN
de	de	ADP
vue	vue	NOUN
où	où	PRON
l'	le	DET
esprit	esprit	NOUN
humain	humain	ADJ
a	avoir	AUX
été	être	AUX
conduit	conduire	VERB
par	par	ADP
le	le	DET
spectacle	spectacle	NOUN
du	de	DET
travail	travail	NOUN
de	de	ADP
l'	le	DET
homme	homme	NOUN
.	.	PUNCT
Mais	mais	CCONJ
dans	dans	ADP
quel	quel	DET
sens	sens	NOUN
les	le	PRON
dépasser	dépasser	VERB
?	?	PUNCT
Nous	nous	PRON
disions	dire	VERB
que	que	SCONJ
,	,	PUNCT
de	de	ADP
décomposition	décomposition	NOUN
en	en	ADP
décomposition	décomposition	NOUN
,	,	PUNCT
quand	quand	SCONJ
on	on	PRON
analyse	analyse	VERB
la	le	DET
structure	structure	NOUN
d'	de	ADP
un	un	DET
organe	organe	NOUN
,	,	PUNCT
on	on	PRON
va	aller	VERB
à	à	ADP
l'	le	DET
infini	infini	PROPN
,	,	PUNCT
quoique	quoique	PRON
le	le	DET
fonctionnement	fonctionnement	NOUN
du	de	DET
tout	tout	NOUN
soit	être	AUX
chose	chose	NOUN
simple	simple	ADJ
.	.	PUNCT
Ce	ce	DET
contraste	contraste	VERB
entre	entre	ADP
la	le	DET
complication	complication	NOUN
à	à	ADP
l'	le	DET
infini	infini	NOUN
de	de	ADP
l'	le	DET
organe	organe	PROPN
et	et	CCONJ
la	le	DET
simplicité	simplicité	NOUN
extrême	extrême	ADJ
de	de	ADP
la	le	DET
fonction	fonction	NOUN
est	être	AUX
précisément	précisément	ADV
ce	ce	PRON
qui	qui	PRON
devrait	devoir	VERB
nous	nous	PRON
ouvrir	ouvrir	VERB
les	le	DET
yeux	oeil	NOUN
.	.	PUNCT
