form	lemma	POS
"
"	"
"	SPACE
Il	il	PRON
est	être	AUX
difficile	difficile	ADJ
de	de	ADP
jeter	jeter	VERB
un	un	DET
coup	coup	NOUN
d'	de	ADP
œil	œil	NOUN
sur	sur	ADP
l'	le	DET
évolution	évolution	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
sans	sans	ADP
avoir	avoir	VERB
le	le	DET
sentiment	sentiment	NOUN
que	que	SCONJ
cette	ce	DET
poussée	poussée	NOUN
intérieure	intérieur	ADJ
est	être	AUX
une	un	DET
réalité	réalité	NOUN
.	.	PUNCT
Mais	mais	CCONJ
il	il	PRON
ne	ne	ADV
faut	falloir	VERB
pas	pas	ADV
croire	croire	VERB
qu'	que	SCONJ
elle	lui	PRON
ait	avoir	AUX
lancé	lancer	VERB
la	le	DET
matière	matière	NOUN
vivante	vivant	ADJ
dans	dans	ADP
une	un	DET
direction	direction	NOUN
unique	unique	ADJ
,	,	PUNCT
ni	ni	CCONJ
que	que	SCONJ
les	le	DET
diverses	diverse	NOUN
espèces	espèce	NOUN
représentent	représenter	VERB
autant	autant	ADV
d'	de	ADP
étapes	étape	NOUN
le	le	DET
long	long	NOUN
d'	de	ADP
une	un	DET
seule	seul	ADJ
route	route	NOUN
,	,	PUNCT
ni	ni	CCONJ
que	que	SCONJ
le	le	DET
trajet	trajet	NOUN
se	se	PRON
soit	être	AUX
effectué	effectuer	VERB
sans	sans	ADP
encombre	encombre	NOUN
.	.	PUNCT
Il	il	PRON
est	être	AUX
visible	visible	ADJ
que	que	SCONJ
l'	le	DET
effort	effort	NOUN
a	avoir	AUX
rencontré	rencontrer	VERB
des	un	DET
résistances	résistance	NOUN
dans	dans	ADP
la	le	DET
matière	matière	NOUN
qu'	qu'	PRON
il	il	PRON
utilisait	utiliser	VERB
;	;	PUNCT
il	il	PRON
a	avoir	AUX
dû	devoir	VERB
se	se	PRON
diviser	diviser	VERB
en	en	ADP
chemin	chemin	NOUN
,	,	PUNCT
partager	partager	VERB
entre	entre	ADP
des	un	DET
lignes	ligne	NOUN
d'	de	ADP
évolution	évolution	NOUN
différentes	différent	ADJ
les	le	DET
tendances	tendance	NOUN
dont	dont	PRON
il	il	PRON
était	être	AUX
gros	gros	ADJ
;	;	PUNCT
il	il	PRON
a	avoir	AUX
dévié	dévier	VERB
,	,	PUNCT
il	il	PRON
a	avoir	AUX
rétrogradé	rétrograder	VERB
;	;	PUNCT
parfois	parfois	ADV
il	il	PRON
s'	se	PRON
est	être	AUX
arrêté	arrêter	VERB
net	net	ADJ
.	.	PUNCT
Sur	sur	ADP
deux	deux	NUM
lignes	ligne	NOUN
seulement	seulement	ADV
il	il	PRON
a	avoir	AUX
remporté	remporter	VERB
un	un	DET
succès	succès	NOUN
incontestable	incontestable	ADJ
,	,	PUNCT
succès	succès	NOUN
partiel	partiel	ADJ
dans	dans	ADP
un	un	DET
cas	cas	NOUN
,	,	PUNCT
relativement	relativement	ADV
complet	complet	ADJ
dans	dans	ADP
l'	le	DET
autre	autre	PRON
;	;	PUNCT
je	je	PRON
veux	vouloir	VERB
parler	parler	VERB
des	un	DET
arthropodes	arthropode	NOUN
et	et	CCONJ
des	de	ADP
vertébrés	vertébré	NOUN
.	.	PUNCT
Au	au	DET
bout	bout	NOUN
de	de	ADP
la	le	DET
première	premier	ADJ
ligne	ligne	NOUN
nous	nous	PRON
trouvons	trouver	VERB
les	le	DET
instincts	instinct	NOUN
de	de	ADP
l'	le	DET
insecte	insecte	NOUN
;	;	PUNCT
au	au	DET
bout	bout	NOUN
de	de	ADP
la	le	DET
seconde	second	ADJ
,	,	PUNCT
l'	le	DET
intelligence	intelligence	NOUN
humaine	humain	ADJ
.	.	PUNCT
/Nous	/nous	PRON
sommes	être	VERB
donc	donc	ADV
autorisés	autoriser	VERB
à	à	ADP
croire	croire	VERB
que	que	SCONJ
la	le	DET
force	force	NOUN
qui	qui	PRON
évolue	évolue	VERB
portait	porter	VERB
d'	de	ADP
abord	abord	NOUN
en	en	ADP
elle	lui	PRON
,	,	PUNCT
mais	mais	CCONJ
confondus	confondu	NOUN
ou	ou	CCONJ
plutôt	plutôt	ADV
impliqués	impliquer	VERB
l'	le	DET
un	un	PRON
dans	dans	ADP
J'	je	PRON
autre	autre	PRON
,	,	PUNCT
instinct	instinct	NOUN
et	et	CCONJ
intelligence	intelligence	NOUN
.	.	PUNCT
