form	lemma	POS
"
"	"
"	SPACE
Telles	tel	ADJ
sont	être	AUX
les	le	DET
considérations	considération	NOUN
préliminaires	préliminaire	ADJ
que	que	PRON
nous	nous	PRON
voulions	vouloir	VERB
présenter	présenter	VERB
.	.	PUNCT
Nous	nous	PRON
leur	leur	PRON
avons	avoir	AUX
fait	faire	VERB
beaucoup	beaucoup	ADV
de	de	ADP
place	place	NOUN
.	.	PUNCT
Mais	mais	CCONJ
c'	ce	PRON
est	être	VERB
pour	pour	ADP
n'	n'	ADV
avoir	avoir	AUX
pas	pas	ADV
défini	définir	VERB
avec	avec	ADP
rigueur	rigueur	NOUN
les	le	DET
termes	terme	NOUN
employés	employer	VERB
,	,	PUNCT
c'	ce	PRON
est	être	VERB
pour	pour	ADP
ne	ne	ADV
s'	se	PRON
être	être	AUX
pas	pas	ADV
suffisamment	suffisamment	ADV
habitué	habituer	VERB
à	à	ADP
voir	voir	VERB
dans	dans	ADP
la	le	DET
relativité	relativité	NOUN
une	un	DET
réciprocité	réciprocité	NOUN
,	,	PUNCT
c'	ce	PRON
est	être	VERB
pour	pour	ADP
n'	n'	ADV
avoir	avoir	AUX
pas	pas	ADV
eu	avoir	VERB
constamment	constamment	ADV
présent	présent	ADJ
à	à	ADP
l'	le	DET
esprit	esprit	NOUN
le	le	DET
rapport	rapport	NOUN
de	de	ADP
la	le	DET
relativité	relativité	NOUN
radicale	radical	ADJ
à	à	ADP
la	le	DET
relativité	relativité	NOUN
atténuée	atténuer	VERB
et	et	CCONJ
pour	pour	ADP
ne	ne	ADV
pas	pas	ADV
s'	se	PRON
être	être	AUX
prémuni	prémunir	VERB
contre	contre	ADP
une	un	DET
confusion	confusion	NOUN
entre	entre	ADP
elles	lui	PRON
,	,	PUNCT
enfin	enfin	ADV
c'	ce	PRON
est	être	VERB
pour	pour	ADP
n'	n'	ADV
avoir	avoir	AUX
pas	pas	ADV
serré	serrer	VERB
de	de	ADP
près	près	ADV
le	le	DET
passage	passage	NOUN
du	de	DET
physique	physique	NOUN
au	au	DET
mathématique	mathématique	NOUN
qu'	que	SCONJ
on	on	PRON
s'	se	PRON
est	être	AUX
trompé	tromper	VERB
si	si	SCONJ
gravement	gravement	ADV
sur	sur	ADP
le	le	DET
sens	sens	NOUN
philosophique	philosophique	ADJ
des	de	ADP
considérations	considération	NOUN
de	de	ADP
temps	temps	NOUN
dans	dans	ADP
la	le	DET
théorie	théorie	NOUN
de	de	ADP
la	le	DET
Relativité	relativité	NOUN
.	.	PUNCT
Ajoutons	ajouton	NOUN
qu'	que	SCONJ
on	on	PRON
ne	ne	ADV
s'	se	PRON
est	être	AUX
guère	guère	ADV
davantage	davantage	ADV
préoccupé	préoccuper	VERB
de	de	ADP
la	le	DET
nature	nature	NOUN
du	de	DET
temps	temps	NOUN
lui-même	lui-même	PRON
.	.	PUNCT
C'	ce	PRON
est	être	AUX
par	par	ADP
là	là	ADV
cependant	cependant	ADV
qu'	que	SCONJ
il	il	PRON
eût	avoir	AUX
fallu	falloir	VERB
commencer	commencer	VERB
.	.	PUNCT
Arrêtons	arrêton	NOUN
-nous	nous	PRON
sur	sur	ADP
ce	ce	DET
point	point	NOUN
.	.	PUNCT
Avec	avec	ADP
les	le	DET
analyses	analyse	NOUN
et	et	CCONJ
distinctions	distinction	NOUN
que	que	PRON
nous	nous	PRON
venons	venir	VERB
de	de	ADP
faire	faire	VERB
,	,	PUNCT
avec	avec	ADP
les	le	DET
considérations	considération	NOUN
que	que	PRON
nous	nous	PRON
allons	aller	VERB
présenter	présenter	VERB
sur	sur	ADP
le	le	DET
temps	temps	NOUN
et	et	CCONJ
sa	son	DET
mesure	mesure	NOUN
,	,	PUNCT
il	il	PRON
deviendra	devenir	VERB
facile	facile	ADJ
d'	de	ADP
aborder	aborder	VERB
l'	le	DET
interprétation	interprétation	NOUN
de	de	ADP
la	le	DET
théorie	théorie	NOUN
d'	de	ADP
Einstein	Einstein	PROPN
.	.	PUNCT
