form	lemma	POS
"
"	"
"	SPACE
Des	un	DET
esprits	esprit	NOUN
aux	à	ADP
dieux	dieu	NOUN
la	le	DET
transition	transition	NOUN
peut	pouvoir	VERB
être	être	AUX
insensible	insensible	ADJ
,	,	PUNCT
la	le	DET
différence	différence	NOUN
n'	n'	ADV
en	en	PRON
est	être	AUX
pas	pas	ADV
moins	moins	ADV
frappante	frappante	NOUN
.	.	PUNCT
Le	le	DET
dieu	dieu	NOUN
est	être	AUX
une	un	DET
personne	personne	NOUN
.	.	PUNCT
Il	il	PRON
a	avoir	VERB
ses	son	DET
qualités	qualité	NOUN
,	,	PUNCT
ses	son	DET
défauts	défaut	NOUN
,	,	PUNCT
son	son	DET
caractère	caractère	NOUN
.	.	PUNCT
Il	il	PRON
porte	porte	VERB
un	un	DET
nom	nom	NOUN
.	.	PUNCT
Il	il	PRON
entretient	entretient	ADV
des	un	DET
relations	relation	NOUN
définies	définir	VERB
avec	avec	ADP
d'	d'	DET
autres	autre	ADJ
dieux	dieu	NOUN
.	.	PUNCT
Il	il	PRON
exerce	exercer	VERB
des	un	DET
fonctions	fonction	NOUN
importantes	important	ADJ
,	,	PUNCT
et	et	CCONJ
surtout	surtout	ADV
il	il	PRON
est	être	AUX
seul	seul	ADJ
à	à	ADP
les	le	DET
exercer	exercer	NOUN
.	.	PUNCT
Au	au	DET
contraire	contraire	NOUN
,	,	PUNCT
il	il	PRON
y	y	PRON
a	avoir	VERB
des	un	DET
milliers	millier	NOUN
d'	de	ADP
esprits	esprit	NOUN
différents	différent	ADJ
,	,	PUNCT
répartis	répartir	ADJ
sur	sur	ADP
la	le	DET
surface	surface	NOUN
d'	de	ADP
un	un	DET
pays	pays	NOUN
,	,	PUNCT
qui	qui	PRON
accomplissent	accomplir	VERB
une	un	DET
même	même	ADJ
besogne	besogne	NOUN
;	;	PUNCT
ils	il	PRON
sont	être	AUX
désignés	désigner	VERB
par	par	ADP
un	un	DET
nom	nom	NOUN
commun	commun	ADJ
et	et	CCONJ
ce	ce	DET
nom	nom	NOUN
pourra	pouvoir	VERB
,	,	PUNCT
dans	dans	ADP
certains	certain	DET
cas	cas	NOUN
,	,	PUNCT
