form	lemma	POS
"
"	"
"	SPACE
Ce	ce	PRON
n'	n'	ADV
est	être	AUX
pas	pas	ADV
là	là	ADV
une	un	DET
hypothèse	hypothèse	NOUN
.	.	PUNCT
Il	il	PRON
arrive	arrive	VERB
,	,	PUNCT
dans	dans	ADP
des	un	DET
cas	cas	NOUN
exceptionnels	exceptionnel	ADJ
,	,	PUNCT
que	que	SCONJ
l'	le	DET
attention	attention	NOUN
renonce	renonce	NOUN
tout	tout	ADV
à	à	ADP
coup	coup	NOUN
à	à	ADP
l'	le	DET
intérêt	intérêt	NOUN
qu'	qu'	PRON
elle	lui	PRON
prenait	prendre	VERB
à	à	ADP
la	le	DET
vie	vie	NOUN
:	:	PUNCT
aussitôt	aussitôt	ADV
,	,	PUNCT
comme	comme	ADP
par	par	ADP
enchantement	enchantement	NOUN
,	,	PUNCT
le	le	DET
passé	passé	NOUN
redevient	redevenir	VERB
présent	présent	ADJ
.	.	PUNCT
Chez	chez	ADP
des	un	DET
personnes	personne	NOUN
qui	qui	PRON
voient	voir	VERB
surgir	surgir	VERB
devant	devant	ADP
elles	lui	PRON
,	,	PUNCT
à	à	ADP
l'	le	DET
improviste	improviste	NOUN
,	,	PUNCT
la	le	DET
menace	menace	NOUN
d'	de	ADP
une	un	DET
mort	mort	NOUN
soudaine	soudain	ADJ
,	,	PUNCT
chez	chez	ADP
l'	le	DET
alpiniste	alpiniste	NOUN
qui	qui	PRON
glisse	glisse	VERB
au	au	DET
fond	fond	NOUN
d'	de	ADP
un	un	DET
précipice	précipice	NOUN
,	,	PUNCT
chez	chez	ADP
des	un	DET
noyés	noyé	NOUN
et	et	CCONJ
chez	chez	ADP
des	un	DET
pendus	pendu	NOUN
,	,	PUNCT
il	il	PRON
semble	semble	VERB
qu'	que	SCONJ
une	un	DET
conversion	conversion	NOUN
brusque	brusque	ADJ
de	de	ADP
l'	le	DET
attention	attention	NOUN
puisse	pouvoir	VERB
se	se	PRON
produire	produire	VERB
,	,	PUNCT
-	-	PUNCT
quelque	quelque	DET
chose	chose	NOUN
comme	comme	ADP
un	un	DET
changement	changement	NOUN
d'	de	ADP
orientation	orientation	NOUN
de	de	ADP
la	le	DET
conscience	conscience	NOUN
qui	qui	PRON
,	,	PUNCT
jusqu'	jusque	ADP
alors	alors	ADV
tournée	tourner	VERB
vers	vers	ADP
l'	le	DET
avenir	avenir	NOUN
et	et	CCONJ
absorbée	absorber	VERB
par	par	ADP
les	le	DET
nécessités	nécessité	NOUN
de	de	ADP
l'	le	DET
action	action	NOUN
,	,	PUNCT
subitement	subitemer	VERB
s'	se	PRON
en	en	PRON
désintéresse	désintéresse	VERB
.	.	PUNCT
Cela	cela	PRON
suffit	suffire	VERB
pour	pour	ADP
que	que	SCONJ
mille	mille	NOUN
et	et	CCONJ
mille	mille	NOUN
détails	détails	VERB
""""	""""	PUNCT
oubliés	oublier	VERB
""""	""""	PUNCT
soient	être	AUX
remémorés	remémorer	VERB
,	,	PUNCT
pour	pour	ADP
que	que	SCONJ
l'	le	DET
histoire	histoire	NOUN
entière	entier	ADJ
de	de	ADP
la	le	DET
personne	personne	NOUN
se	se	PRON
déroule	déroule	VERB
devant	devant	ADP
elle	lui	PRON
en	en	ADP
un	un	DET
mouvant	mouvant	NOUN
panorama	panorama	NOUN
.	.	PUNCT
